Circuit delay: 2844.59 picoseconds

Gate slacks:
INPUT-P2_WR_REG_SCAN_IN: 3066.27 picoseconds
INPUT-SI_31_: 2403.05 picoseconds
INPUT-SI_30_: 2451.89 picoseconds
INPUT-SI_29_: 2396.52 picoseconds
INPUT-SI_28_: 2234.65 picoseconds
INPUT-SI_27_: 2220.77 picoseconds
INPUT-SI_26_: 2181.07 picoseconds
INPUT-SI_25_: 2141.38 picoseconds
INPUT-SI_24_: 2101.69 picoseconds
INPUT-SI_23_: 2062 picoseconds
INPUT-SI_22_: 2022.3 picoseconds
INPUT-SI_21_: 1982.61 picoseconds
INPUT-SI_20_: 1942.92 picoseconds
INPUT-SI_19_: 1903.22 picoseconds
INPUT-SI_18_: 1863.53 picoseconds
INPUT-SI_17_: 1823.84 picoseconds
INPUT-SI_16_: 1784.15 picoseconds
INPUT-SI_15_: 1744.45 picoseconds
INPUT-SI_14_: 1670.68 picoseconds
INPUT-SI_13_: 1637.61 picoseconds
INPUT-SI_12_: 1604.53 picoseconds
INPUT-SI_11_: 1599.84 picoseconds
INPUT-SI_10_: 1614.55 picoseconds
INPUT-SI_9_: 1581.47 picoseconds
INPUT-SI_8_: 1548.39 picoseconds
INPUT-SI_7_: 1546.55 picoseconds
INPUT-SI_6_: 1558.82 picoseconds
INPUT-SI_5_: 1525.75 picoseconds
INPUT-SI_4_: 1521.3 picoseconds
INPUT-SI_3_: 1507.7 picoseconds
INPUT-SI_2_: 1504.2 picoseconds
INPUT-SI_1_: 1485.35 picoseconds
INPUT-SI_0_: 1485.35 picoseconds
INPUT-P2_RD_REG_SCAN_IN: 284.459 picoseconds
INPUT-P2_STATE_REG_SCAN_IN: 2406.03 picoseconds
INPUT-P2_REG3_REG_7__SCAN_IN: 1418.72 picoseconds
INPUT-P2_REG3_REG_27__SCAN_IN: 1815.48 picoseconds
INPUT-P2_REG3_REG_14__SCAN_IN: 1530.01 picoseconds
INPUT-P2_REG3_REG_23__SCAN_IN: 1729.42 picoseconds
INPUT-P2_REG3_REG_10__SCAN_IN: 1480.9 picoseconds
INPUT-P2_REG3_REG_3__SCAN_IN: 1418.72 picoseconds
INPUT-P2_REG3_REG_19__SCAN_IN: 1643.37 picoseconds
INPUT-P2_REG3_REG_28__SCAN_IN: 1868.46 picoseconds
INPUT-P2_REG3_REG_8__SCAN_IN: 1480.9 picoseconds
INPUT-P2_REG3_REG_1__SCAN_IN: 1771.56 picoseconds
INPUT-P2_REG3_REG_21__SCAN_IN: 1686.4 picoseconds
INPUT-P2_REG3_REG_12__SCAN_IN: 1530.01 picoseconds
INPUT-P2_REG3_REG_25__SCAN_IN: 1772.45 picoseconds
INPUT-P2_REG3_REG_16__SCAN_IN: 1600.34 picoseconds
INPUT-P2_REG3_REG_5__SCAN_IN: 1418.72 picoseconds
INPUT-P2_REG3_REG_17__SCAN_IN: 1600.34 picoseconds
INPUT-P2_REG3_REG_24__SCAN_IN: 1772.45 picoseconds
INPUT-P2_REG3_REG_4__SCAN_IN: 1418.72 picoseconds
INPUT-P2_REG3_REG_9__SCAN_IN: 1480.9 picoseconds
INPUT-P2_REG3_REG_0__SCAN_IN: 1797.76 picoseconds
INPUT-P2_REG3_REG_20__SCAN_IN: 1686.4 picoseconds
INPUT-P2_REG3_REG_13__SCAN_IN: 1530.01 picoseconds
INPUT-P2_REG3_REG_22__SCAN_IN: 1729.42 picoseconds
INPUT-P2_REG3_REG_11__SCAN_IN: 1480.9 picoseconds
INPUT-P2_REG3_REG_2__SCAN_IN: 1676.73 picoseconds
INPUT-P2_REG3_REG_18__SCAN_IN: 1643.37 picoseconds
INPUT-P2_REG3_REG_6__SCAN_IN: 1418.72 picoseconds
INPUT-P2_REG3_REG_26__SCAN_IN: 1815.48 picoseconds
INPUT-P2_REG3_REG_15__SCAN_IN: 1530.01 picoseconds
INPUT-P2_B_REG_SCAN_IN: 1512.97 picoseconds
INPUT-P2_DATAO_REG_31__SCAN_IN: 2339.46 picoseconds
INPUT-P2_DATAO_REG_30__SCAN_IN: 2372.22 picoseconds
INPUT-P2_DATAO_REG_29__SCAN_IN: 2322.32 picoseconds
INPUT-P2_DATAO_REG_28__SCAN_IN: 2160.45 picoseconds
INPUT-P2_DATAO_REG_27__SCAN_IN: 2149.87 picoseconds
INPUT-P2_DATAO_REG_26__SCAN_IN: 2110.18 picoseconds
INPUT-P2_DATAO_REG_25__SCAN_IN: 2070.49 picoseconds
INPUT-P2_DATAO_REG_24__SCAN_IN: 2030.79 picoseconds
INPUT-P2_DATAO_REG_23__SCAN_IN: 1991.1 picoseconds
INPUT-P2_DATAO_REG_22__SCAN_IN: 1951.41 picoseconds
INPUT-P2_DATAO_REG_21__SCAN_IN: 1911.72 picoseconds
INPUT-P2_DATAO_REG_20__SCAN_IN: 1872.02 picoseconds
INPUT-P2_DATAO_REG_19__SCAN_IN: 1832.33 picoseconds
INPUT-P2_DATAO_REG_18__SCAN_IN: 1792.64 picoseconds
INPUT-P2_DATAO_REG_17__SCAN_IN: 1752.94 picoseconds
INPUT-P2_DATAO_REG_16__SCAN_IN: 1713.25 picoseconds
INPUT-P2_DATAO_REG_15__SCAN_IN: 1673.55 picoseconds
INPUT-P2_DATAO_REG_14__SCAN_IN: 1599.79 picoseconds
INPUT-P2_DATAO_REG_13__SCAN_IN: 1566.71 picoseconds
INPUT-P2_DATAO_REG_12__SCAN_IN: 1533.64 picoseconds
INPUT-P2_DATAO_REG_11__SCAN_IN: 1526.04 picoseconds
INPUT-P2_DATAO_REG_10__SCAN_IN: 1543.65 picoseconds
INPUT-P2_DATAO_REG_9__SCAN_IN: 1510.57 picoseconds
INPUT-P2_DATAO_REG_8__SCAN_IN: 1477.5 picoseconds
INPUT-P2_DATAO_REG_7__SCAN_IN: 1472.75 picoseconds
INPUT-P1_IR_REG_0__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_1__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_2__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_3__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_4__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_5__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_6__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_7__SCAN_IN: 1094.52 picoseconds
INPUT-P1_IR_REG_8__SCAN_IN: 1094.52 picoseconds
INPUT-P1_IR_REG_9__SCAN_IN: 1094.52 picoseconds
INPUT-P1_IR_REG_10__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_11__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_12__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_13__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_14__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_15__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_16__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_17__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_18__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_19__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_20__SCAN_IN: 1094.52 picoseconds
INPUT-P1_IR_REG_21__SCAN_IN: 1094.52 picoseconds
INPUT-P1_IR_REG_22__SCAN_IN: 1094.52 picoseconds
INPUT-P1_IR_REG_23__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_24__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_25__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_26__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_27__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_28__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_29__SCAN_IN: 1082.61 picoseconds
INPUT-P1_IR_REG_30__SCAN_IN: 1217.43 picoseconds
INPUT-P1_IR_REG_31__SCAN_IN: 1120.9 picoseconds
INPUT-P1_D_REG_0__SCAN_IN: 2319.32 picoseconds
INPUT-P1_D_REG_1__SCAN_IN: 2331.39 picoseconds
INPUT-P1_D_REG_2__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_3__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_4__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_5__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_6__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_7__SCAN_IN: 2262.87 picoseconds
INPUT-P1_D_REG_8__SCAN_IN: 2262.87 picoseconds
INPUT-P1_D_REG_9__SCAN_IN: 2262.87 picoseconds
INPUT-P1_D_REG_10__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_11__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_12__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_13__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_14__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_15__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_16__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_17__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_18__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_19__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_20__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_21__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_22__SCAN_IN: 2262.87 picoseconds
INPUT-P1_D_REG_23__SCAN_IN: 2262.87 picoseconds
INPUT-P1_D_REG_24__SCAN_IN: 2262.87 picoseconds
INPUT-P1_D_REG_25__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_26__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_27__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_28__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_29__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_30__SCAN_IN: 2243.27 picoseconds
INPUT-P1_D_REG_31__SCAN_IN: 2243.27 picoseconds
INPUT-P1_REG0_REG_0__SCAN_IN: 1654.18 picoseconds
INPUT-P1_REG0_REG_1__SCAN_IN: 1687.14 picoseconds
INPUT-P1_REG0_REG_2__SCAN_IN: 1572.68 picoseconds
INPUT-P1_REG0_REG_3__SCAN_IN: 1511.52 picoseconds
INPUT-P1_REG0_REG_4__SCAN_IN: 1632.24 picoseconds
INPUT-P1_REG0_REG_5__SCAN_IN: 1561.44 picoseconds
INPUT-P1_REG0_REG_6__SCAN_IN: 1621.33 picoseconds
INPUT-P1_REG0_REG_7__SCAN_IN: 1689.15 picoseconds
INPUT-P1_REG0_REG_8__SCAN_IN: 1683.39 picoseconds
INPUT-P1_REG0_REG_9__SCAN_IN: 1708.2 picoseconds
INPUT-P1_REG0_REG_10__SCAN_IN: 1611.88 picoseconds
INPUT-P1_REG0_REG_11__SCAN_IN: 1748.23 picoseconds
INPUT-P1_REG0_REG_12__SCAN_IN: 1812.87 picoseconds
INPUT-P1_REG0_REG_13__SCAN_IN: 1837.17 picoseconds
INPUT-P1_REG0_REG_14__SCAN_IN: 1840.38 picoseconds
INPUT-P1_REG0_REG_15__SCAN_IN: 1755.44 picoseconds
INPUT-P1_REG0_REG_16__SCAN_IN: 1827.56 picoseconds
INPUT-P1_REG0_REG_17__SCAN_IN: 1948.4 picoseconds
INPUT-P1_REG0_REG_18__SCAN_IN: 2055.9 picoseconds
INPUT-P1_REG0_REG_19__SCAN_IN: 1969.7 picoseconds
INPUT-P1_REG0_REG_20__SCAN_IN: 2070.96 picoseconds
INPUT-P1_REG0_REG_21__SCAN_IN: 2027.86 picoseconds
INPUT-P1_REG0_REG_22__SCAN_IN: 1973.67 picoseconds
INPUT-P1_REG0_REG_23__SCAN_IN: 2113.12 picoseconds
INPUT-P1_REG0_REG_24__SCAN_IN: 2157.95 picoseconds
INPUT-P1_REG0_REG_25__SCAN_IN: 2140.76 picoseconds
INPUT-P1_REG0_REG_26__SCAN_IN: 2174.73 picoseconds
INPUT-P1_REG0_REG_27__SCAN_IN: 2094.55 picoseconds
INPUT-P1_REG0_REG_28__SCAN_IN: 2129.49 picoseconds
INPUT-P1_REG0_REG_29__SCAN_IN: 2298.04 picoseconds
INPUT-P1_REG0_REG_30__SCAN_IN: 1842.54 picoseconds
INPUT-P1_REG0_REG_31__SCAN_IN: 1833.9 picoseconds
INPUT-P1_REG1_REG_0__SCAN_IN: 1654.18 picoseconds
INPUT-P1_REG1_REG_1__SCAN_IN: 1687.14 picoseconds
INPUT-P1_REG1_REG_2__SCAN_IN: 1572.68 picoseconds
INPUT-P1_REG1_REG_3__SCAN_IN: 1511.52 picoseconds
INPUT-P1_REG1_REG_4__SCAN_IN: 1632.24 picoseconds
INPUT-P1_REG1_REG_5__SCAN_IN: 1561.44 picoseconds
INPUT-P1_REG1_REG_6__SCAN_IN: 1621.33 picoseconds
INPUT-P1_REG1_REG_7__SCAN_IN: 1689.15 picoseconds
INPUT-P1_REG1_REG_8__SCAN_IN: 1683.39 picoseconds
INPUT-P1_REG1_REG_9__SCAN_IN: 1708.2 picoseconds
INPUT-P1_REG1_REG_10__SCAN_IN: 1611.88 picoseconds
INPUT-P1_REG1_REG_11__SCAN_IN: 1748.23 picoseconds
INPUT-P1_REG1_REG_12__SCAN_IN: 1812.87 picoseconds
INPUT-P1_REG1_REG_13__SCAN_IN: 1837.17 picoseconds
INPUT-P1_REG1_REG_14__SCAN_IN: 1840.38 picoseconds
INPUT-P1_REG1_REG_15__SCAN_IN: 1755.44 picoseconds
INPUT-P1_REG1_REG_16__SCAN_IN: 1827.56 picoseconds
INPUT-P1_REG1_REG_17__SCAN_IN: 1948.4 picoseconds
